cuerpo,fecha,subtitulo,tags,titulo,url,url_imagenes
"En la madrugada de este lunes 27 de enero se registraron dos siniestros viales en el kilómetro 1510 de la ruta nacional 12, a la altura de Montecarlo. El primero ocurrió a las 3.50, cuando un VW Suran, que circulaba en dirección norte-sur con seis ocupantes, despistó hacia la banquina tras esquivar un animal que ingresó a la ruta. El vehículo terminó volcado y uno de los acompañantes, Santiago Hernán A. (33 años), sufrió lesiones y fue trasladado al hospital SAMIC de Eldorado. Los demás ocupantes resultaron ilesos. Más tarde, a las 6, se produjo una colisión en el mismo tramo de la ruta. Una motocicleta Gilera Smash, conducida por Oscar G. (38 años), chocó contra un Renault Clio manejado por Elvio C. (57 años), quien habría realizado una maniobra de giro al ingresar desde una calle vecinal. El conductor de la motocicleta sufrió lesiones y fue derivado al hospital local para recibir atención médica. En ambos incidentes trabajó personal policial que inició las investigaciones para esclarecer las causas. Además, se solicitó la intervención de Criminalística en el caso del despiste para evaluar las circunstancias del accidente.",2025-01-27,Un auto con seis ocupantes volcó al esquivar una vaca y una moto chocó contra un auto.,"#SiniestrosViales,Choque auto y moto,Montecarlo,Ruta 12",Montecarlo: dos siniestros sobre la ruta 12 con pocas horas de diferencia,https://www.primeraedicion.com.ar/nota/100967558/montecarlo-dos-siniestros-sobre-la-ruta-12-con-pocas-horas-de-diferencia/,https://www.primeraedicion.com.ar/wp-content/uploads/2025/01/siniestro-ruta-12-Montecarlo-750x375.jpg
"Misiones comenzó el domingo con dos reportes de siniestros viales que involucran a motociclistas . En uno de los incidentes, un hombre aún no identificado perdió la vida tras colisionar con un automóvil en Posadas. El accidente ocurrió en la intersección de la rotonda del Acceso Sur y la avenida Costanera, donde un vehículo Toyota Allion, conducido por una mujer paraguaya, chocó contra una moto Siam Quiriom de 150cc. El impacto fue fatal para el conductor de la motocicleta, quien falleció en el lugar del accidente. Su acompañante fue trasladado al hospital para recibir atención médica. En la escena del siniestro, trabajaron las autoridades locales, incluyendo la Comisaría y la Policía Científica, que realizaron las pericias correspondientes para esclarecer las causas del accidente. Cabe recordar que la provincia tiene una alarmante cantidad de víctimas fatales en siniestros viales , especialmente entre los usuarios de motos, lo que señala la necesidad de mejorar las condiciones de seguridad en las rutas, las calles y también reforzar la educación vial .",2025-02-02,Un Toyota Allion chocó contra una moto Siam Quiriom de 150cc.,"#Posadas,#SiniestrosViales,Acceso Sur,motociclista fallecido",Un motociclista falleció en un siniestro en el Acceso Sur de Posadas,https://www.primeraedicion.com.ar/nota/100969582/un-motociclista-fallecio-en-un-siniestro-en-el-acceso-sur-de-posadas/,https://www.primeraedicion.com.ar/wp-content/uploads/2025/02/siniestro-acceso-sur-750x375.jpg
"Un trágico accidente vial tuvo lugar en Puerto Libertad, en el Paraje Tirica , donde un motociclista de 78 años, identificado como Eusebio Rubén Benítez, perdió la vida. El siniestro ocurrió en la madrugada, alrededor de las 2 AM, cuando Benítez colisionó con su motocicleta Yamaha YBR contra un automóvil Citroën C5, conducido por un hombre de 76 años. Las causas del accidente están bajo investigación. A raíz del impacto, el motociclista cayó al suelo y sufrió lesiones graves que resultaron fatales en el lugar del accidente. Las autoridades locales, incluyendo la Comisaría de Puerto Libertad y la Policía Científica, realizaron las pericias necesarias para esclarecer los hechos. Un médico policial también estuvo presente para evaluar la situación. El juez interviniente ordenó que el cuerpo de Benítez fuera entregado a sus familiares para su inhumación. Además, se notificó al conductor del automóvil sobre la causa del accidente y los vehículos involucrados fueron secuestrados para su análisis pericial.",2025-02-02,El siniestro involucró a dos hombres de casi 80 años.,"motociclista fallecido,Puerto Libertad,Siniestro vial",Puerto Libertad: siniestro vial dejó a un motociclista como víctima fatal,https://www.primeraedicion.com.ar/nota/100969577/puerto-libertad-siniestro-vial-dejo-a-un-motociclista-como-victima-fatal/,https://www.primeraedicion.com.ar/wp-content/uploads/2025/02/siniestro-Puerto-Libertad-750x375.jpg
"Un fatal accidente ocurrió en horas de la siesta de este miércoles en la Ruta Nacional 12, en inmediaciones de la localidad de Ituzaingó, Corrientes . El siniestro involucró a un camión y un automóvil conducido por una mujer que se desplazaba desde Misiones. Según informaron portales correntinos, la tragedia se produjo cuando la conductora del automóvil  aparentemente se habría quedado dormida al volante, lo que provocó que el camión, que circulaba en sentido contrario, no lograra esquivar el vehículo. Producto del violento impacto, la mujer perdió la vida en el lugar. De acuerdo al sitio Ituzaingó Noticias, la víctima sería Norma Beatriz Báez de 61 años oriunda de Garupá.",2025-02-05,El accidente ocurrió este mediodía en inmediaciones a Ituzaingó.,"Accidente,Ruta Nacional 12,Siniestro",Tragedia en la Ruta 12: una mujer misionera falleció tras siniestro vial en Corrientes,https://www.primeraedicion.com.ar/nota/100970874/tragedia-en-la-ruta-12-una-mujer-misionera-fallecio-tras-siniestro-vial-en-corrientes/,https://www.primeraedicion.com.ar/wp-content/uploads/2025/02/image-2025-02-05T184509.796-750x375.jpg
"Durante la madrugada de este domingo 31 de diciembre, un joven argentino de 20 años, identificado como Luis David Argüello, falleció luego de que un vehículo embistiera la moto en la que el muchacho circulaba junto a un amigo . El sitio itapuanoticias.tv informó que el siniestro vial ocurrió antes de las 2 de este domingo, cuando Argüello circulaba junto a Arnaldo Mereles Bogado en una moto Star SK 125 negra cuando fueron embestidos por un vehículo que se dio a la fuga, dejándolos abandonados en la cinta asfáltica. Según lo relatado por Mereles Bogado, ellos se dirigían de Curuñai a General Delgado por la ruta 1. El médico forense informó que Argüello sufrió traumatismo de cráneo, fractura de calota y pérdida de masa encefálica, además de otras lesiones en la ingle y muslo izquierdo. En el lugar trabajó personal de las Comisarías 44 de Curuñai, 29 de General Delgado y 103 de San Rafael.",2023-12-31,La víctima tenía 20 años y viajaba con un amigo. Un automóvil los embistió y se dio a la fuga dejándolos tendidos en la cinta asfáltica.,"#Paraguay,Luis David Argüello,Muerte,Siniestro vial",Motociclista argentino murió en siniestro vial en Paraguay,https://www.primeraedicion.com.ar/nota/100773325/motociclista-argentino-murio-en-siniestro-vial-en-paraguay/,https://www.primeraedicion.com.ar/wp-content/uploads/2023/11/Policia-750x375.jpg
"El Ministerio de Salud Pública de Misiones emitió un detalle de las atenciones de emergencia que se realizaron en los hospitales públicos de la provincia entre las 22 horas del 31 diciembre y hasta las 7 de este lunes 1 de enero 2024. En ese marco, se registraron 22 pacientes con heridas causadas en riña o por terceros, 21 pacientes por siniestros viales, 11 por intoxicación, 5 heridos por arma blanca, 3 por quemaduras (uno de ellos por pirotecnia) y 1 por accidente doméstico .  En este Año Nuevo se atendieron tres pacientes con quemaduras, uno de ellos con heridas a causa de uso de pirotecnia. Este último se registró en el hospital de Puerto Iguazú y se trata de un joven de 20 años con lesión en globo ocular izquierdo por uso de pirotecnia. El resto fueron un menor de 14 años de Tres Capones y una mujer de 79 años de Posadas por quemaduras provocadas por descarga eléctrica .  En el Hospital Samic Eldorado se asistió a dos pacientes, uno de ellos con traumatismo de cadera leve por siniestro vehicular. En el Hospital Nuestra Señora de Fátima se asistió a una joven con excoriaciones leves por caída en moto. En el Hospital Samic de Oberá ingresaron seis pacientes con heridas por accidentes, de los cuales cinco fueron por accidentes viales (tres mujeres y dos hombres) y uno (hombre) por caída en altura, con fractura de columna. A la emergencias del Hospital Favaloro de Villa Cabello ingresó un paciente masculino con fractura de hombro izquierdo y escoriaciones en la cara por caída en moto. En San Pedro ingresaron a la guardia del Hospital dos pacientes masculinos por siniestro vial en moto. En Bernardo de Irigoyen se asistió en el Hospital a dos pacientes masculinos con heridas leves por choque entre auto y moto. En Apóstoles se asistió en el Hospital a un paciente masculino y e n Puerto Iguazú a cinco (4 hombres y 1 mujer).  En la provincia se registraron 22 asistencias por este motivo entre las últimas horas de 2023 y las primeras de 2024. En el Hospital de Nuestra Señora de Fátima se atendió a un adolescente con traumatismo contuso-cortante causado en riña. En el Samic Oberá ingresó un hombre con heridas leves por agresión de terceros en riña. En el Hospital Favaloro ingresaron tres pacientes con heridas por agresión por terceros: dos masculinos (uno herido por terceros en intento de robo y el otro en pelea callejera) y una mujer con herida cortante por agresión por terceros en intento de robo. En el Hospital Samic de Leandro N. Alem se asistió a tres pacientes masculinos con lesiones leves por agresiones de terceros en pelea callejera. En el Samic Eldorado se asistió a tres pacientes con traumatismo leves por riña en vía pública. En el Hospital de Puerto Iguazú ingresaron cinco pacientes con heridas leves en rostro, cabeza y brazos causadas por riña. Se trata de cuatro varones y una mujer. En el Hospital de Puerto Rico se atendió a un hombre de 50 años, herido por botella de vidrio en la zona frontal de la cabeza. En el hospital Ramón Madariaga de Posadas se atendió a cuatro pacientes con heridas causadas por terceros, tres de ellos hombres y una mujer. Y en el Hospital de San Vicente se asistió a una mujer con heridas leves por agresión de terceros.  El Samic Eldorado registró un ingreso por intoxicación alcohólica (paciente femenina). En el Hospital de Fátima se asistió a un adolescente de 15 años por intoxicación alcohólica y un adulto de 32 por intoxicación alcohólica y de estupefacientes. En el Samic Oberá ingresó un adolescente de 15 años con intoxicación alcohólica. En el Hospital Favaloro ingreso una joven de 25 años con intoxicación alcohólica y de estupefacientes. El Hospital Samic de Leandro N. Alem registro un paciente de 18 años con intoxicación alcohólica. En el Hospital de Apóstoles se atendió a un paciente de 58 años por intoxicación alcohólica. En San Vicente en la emergencia se asistieron a cuatro mujeres por intoxicación, dos de ellas por alimentos y dos por alcohol.  Este fin de año en Misiones, las guardias de los hospitales públicos registraron la atención de cinco personas por heridas por arma blanca. En el Hospital Madariaga ingresó, derivado del Hospital Nuestra Señora de Fátima, un hombre de 33 años con herida causada por arma blanca. En el Hospital de Concepción de la Sierra se atendió a un hombre de 33 años con herida causada por arma blanca. En el Samic Oberá ingresaron dos pacientes con heridas por arma blanca. Un joven de 25 años con amputación de mano por machetazo (en un hecho ocurrido en Salto Encantado ) y el otro de 21 años con puntazo en región lumbosacra. En el Hospital de Apóstoles se asistió a un hombre de 33 años con herida causada por arma blanca.  En el Hospital de San Vicente se atendió a una mujer con heridas causadas por un accidente doméstico del que no se brindaron precisiones.",2024-01-01,"Desde las 22 del domingo hasta las 7 de este lunes también se registraron 11 intoxicaciones (la mayoría por alcohol) y un solo herido por pirotecnia, según informó el Ministerio de Salud Pública.","emergencias,Fiestas de fin de año,Heridos en riña,ministerio de salud pública,Misiones,Pirotecnia,Siniestros viales","Heridas en riña y siniestros viales, principales emergencias en Misiones al inicio de 2024",https://www.primeraedicion.com.ar/nota/100773370/heridas-en-rina-y-siniestros-viales-principales-emergencias-en-misiones-al-inicio-de-2024/,https://www.primeraedicion.com.ar/wp-content/uploads/2023/11/emergencias-750x375.jpg
"Una joven de 28 años identificada como Andrea Camila Ayala (28) , murió este sábado en horas de las noche cuando fue atropellada por un vehículo cuando conducía su motocicleta por el kilómetro 1538 de la ruta 12. El siniestro ocurrió a las 23.45 y dejó además a una mujer de 31 años que iba como acompañante con lesiones graves. El vehículo involucrado se trataría de un Fiat Uno, cuyo conductor era intensamente buscado por efectivos de la Unidad Regional III. La policía demoró en el lugar a un joven de 26 años quien embistió a la joven luego del primer impacto con el otro automóvil, tras quedar tirada, aparentemente, sin vida sobre el asfalto. El médico policial que examinó el cuerpo de la mujer fallecida diagnosticó múltiples fracturas y muerte por paro cardiorrespiratorio, según fuentes policiales. Interviene en el caso el Juzgado de instrucción N° 1 de Eldorado que dispuso que el cuerpo sea entregado a sus familiares para inhumación.",2024-01-21,La víctima fatal circulaba en moto y fue atropellada por un auto que se dio a la fuga sobre la ruta 12. Su acompañante sufrió lesiones graves.,"Choque auto y moto,Choque y fuga,Eldorado,Mujer fallecida,Ruta Nacional 12,Siniestro vial","Otra joven mujer murió en un siniestro vial, esta vez en Eldorado",https://www.primeraedicion.com.ar/nota/100816078/otra-joven-mujer-murio-en-un-siniestro-vial-esta-vez-en-eldorado/,https://www.primeraedicion.com.ar/wp-content/uploads/2024/01/mujer-fallecida-eldorado-choque-y-fuga-1-750x375.jpg
"Durante este lunes, una joven de 17 años se convirtió en la tercera víctima mortal en siniestros viales en la provincia de Misiones, en menos de 48 horas. Se trata de Yaqueline Anabel Leiva quien falleció esta madrugada de camino al hospital SAMIC de Eldorado. De acuerdo a fuentes policiales, la colisión ocurrió alrededor de las 3.45 en la intersección de calle Aguaribayes y avenida 9 de Julio, en la localidad de Montecarlo. Allí, Anabel sufrió múltiples lesiones producto de una colisión entre la moto Honda Wave que conducía y un auto Fiat Palio, al mando de un hombre de 49 años. En el nosocomio, el médico policial examinó el cuerpo y determinó como causa del deceso traumatismo de cráneo y fracturas múltiples. Así también, se le realizó el test de alcoholemia al conductor, arrojando resultado negativo. Finalmente, el juez de turno dispuso la entrega del cuerpo a los familiares y la notificación de la causa al conductor.  El sábado por la noche, cerca de las 23.45, una joven de 28 años identificada como Andrea Camila Ayala perdió la vida tras ser impactada por un automóvil que luego se dio a la fuga . El siniestro vial ocurrió  sobre el kilómetro 1538 de la ruta nacional 12, en Eldorado. El involucrado que chocó a la moto de la víctima, sería un auto Fiat Uno , según testigos. A su vez, se supo que una mujer de 31 años, acompañante en la moto, resultó con lesiones graves. Por otra parte, en Puerto Iguazú, falleció una motociclista de 21 años tras un choque frontal contra otra moto , sobre la avenida República Argentina de esta ciudad. Según pudo saber PRIMERA EDICIÓN , la víctima fatal identificada como Brenda Tamara Saavedra conducía una moto Keller 110cc. e impactó contra una motocicleta Yamaha 250cc, cerca de las 2 de ayer. A raíz del impacto, la joven fue traslada de urgencia al hospital SAMIC local y a las 8.30 de este domingo se conoció su deceso debido a múltiples lesiones graves.",2024-01-22,"Este lunes por la mañana falleció una menor de 17 años en Montecarlo tras una colisión contra un auto. En las últimas horas, habían fallecido otras dos mujeres, en Eldorado y Puerto Iguazú, respectivamente.","choque,Eldorado,Montecarlo,Mujer fallecida,Puerto Iguazú,Siniestros viales","En menos de 48 horas, murieron tres mujeres en siniestros viales en Misiones",https://www.primeraedicion.com.ar/nota/100816100/en-menos-de-48-horas-murieron-tres-mujeres-en-siniestros-viales-en-misiones/,https://www.primeraedicion.com.ar/wp-content/uploads/2024/01/mujer-fallecida-Montecarlo-750x375.jpg
"Brenda Tamara Saavedra (21), murió a causa de las gravísimas lesiones que sufrió, luego que la moto que conducía colisionara con otra que era guiada por un joven de 19 años. La familia de la víctima tiene versiones que apuntan a la responsabilidad del motociclista en el siniestro y por ello pidieron ayuda a la comunidad de Iguazú. Este Diario pudo dialogar con Lucas, quien era pareja de Brenda. Relató que la familia pide encarecidamente que alguien que hubiera visto el siniestro vial que ocurrió alrededor de las 2 del pasado domingo sobre la avenida República Argentina, se presente en la comisaría y aporte datos. Sucede que cuando ocurrió el hecho, el primero en llegar al lugar fue el hermano de Brenda. En ese momento, según contó: “Se había juntado gente y todos le decían que el muchacho de la otra moto había pasado en rojo y venía haciendo willie cuando chocó contra la moto de Brenda” , relató. “El problema vino después, porque no se quedó nadie cuando vino la policía . Sabemos que el joven estaba en infracción y queremos que quien lo haya visto lo cuente” solicitó. “Otra cosa que nos pareció muy extraña es que después que chocaron, el joven que manejaba una Yamaha XTZ 250, se fue del lugar y regresó minutos después. No sabemos si llevaba algo que quiso ocultar”. Según señaló Lucas, la única motocicleta que secuestraron para pericias fue la Keller 110 de su novia y se pregunta por qué no buscaron la Yamaha . Para la familia de Brenda no fue una simple tragedia vial, porque mucho habría tenido que ver la forma de conducción del joven y por ello buscan a testigos que quieran aportar para esclarecer la causal del siniestro . Pidió que si alguien filmó algo o si tiene algún registro de cámara domiciliaria, por favor se acerque a la policía. Además dejó un número de celular 3757-450013. La joven trabajaba en un restaurante y tras salir de su trabajo iba a encontrarse con su hermano. Iba acompañada por otra joven en la moto. Al llegar a la avenida citada ocurrió el siniestro. La llevaron al hospital SAMIC donde quedó en terapia intensiva pero murió en la mañana del domingo. El que conducía la otra motocicleta iba en compañía de una menor de 16. El resto de los involucrados solo sufrió lesiones leves. Intervino el Juzgado de Instrucción 3, que aguarda el sumario policial para dictar las primeras medidas para esclarecer el hecho. En principio el expediente se caratula como “homicidio en accidente de tránsito”.",2024-01-25,"Brenda Saavedra (21), salía de su trabajo y guiaba una Keller 110 e impactó contra una Yamaha XTZ 250. La familia maneja versiones acerca del cruce en rojo y “willie” de la otra motocicleta.","Brenda Saavedra,motociclista fallecida,Puerto Iguazú,Siniestro vial,testigos",Piden testigos del siniestro por el que murió una motociclista,https://www.primeraedicion.com.ar/nota/100816878/piden-testigos-del-siniestro-por-el-que-murio-una-motociclista/,https://www.primeraedicion.com.ar/wp-content/uploads/2024/01/motociclista-fallecida-Brenda-Saavedra-750x375.jpg
"Dos menores de 15 años murieron esta madrugada de lunes en un siniestro vial ocurrido en la localidad de Candelaria , según fuentes policiales. El hecho ocurrió pasadas las 2 de hoy en el cruce de avenida Roque González y Almirante Brown, en inmediaciones a la cancha de Atlético Candelaria . Allí, una motocicleta Guerrero 150cc. habría despistado dejando a los dos fallecidos, según pudo corroborar PRIMERA EDICIÓN. Igualmente, las investigaciones continúan para determinar si hubo o no otro vehículo involucrado. Las víctimas fueron identificadas como Alexis Ricardo Morel , quien falleció en el lugar, y Dahiana Emilia Aires, quien habría fallecido en el hospital y fue reconocida esta mañana por familiares. De acuerdo a las primeras informaciones aportadas por la familia de la menor, Morel y Aires mantenían una relación y habían salido este domingo por la noche en el vehículo del joven. Las actuaciones de rigor estuvieron a cargo de Policía Científica y de la comisaría jurisdiccional.  NOTICIA EN DESARROLLO…",2024-02-05,"Las víctimas, dos adolescentes de 15 años, murieron tras despistar esta madrugada en el cruce de avenidas Roque González y Almirante Brown.","Candelaria,Despiste,motociclistas fallecidos,siniestro fatal",Siniestro fatal se cobró la vida de dos menores en Candelaria,https://www.primeraedicion.com.ar/nota/100827445/siniestro-fatal-se-cobro-la-vida-de-dos-personas-en-candelaria/,https://www.primeraedicion.com.ar/wp-content/uploads/2024/02/siniestro-fatal-Candelaria-750x375.jpg
